align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
none,64,0.7724581956863403,logreg_c01,top5sim,none,balanced_accuracy,0.37999999999999995,0.6818853427895981,0.6807017543859649,0.6818853427895981,0.7111111111111111,82,62,29,112,0.7302994483845549,0.5462962962962963,0.5470875479595396,0.5148514851485149,33,28,21,26,0.5287757237530519,0.5428571428571428,0.5438371239911959,0.52,31,27,21,26,0.5271460014673515
coral,64,0.7724385857582092,rf_d5,none,p80,balanced_accuracy,0.49999999999999994,0.6244089834515366,0.624561403508772,0.6244089834515366,0.6164874551971327,92,52,55,86,0.65376280535855,0.5555555555555556,0.5552842692710149,0.52,34,27,21,26,0.5870247645622603,0.5428571428571428,0.5438371239911959,0.52,31,27,21,26,0.5763022743947175
coral,128,0.8976681232452393,extra_d5,top5sim,none,balanced_accuracy,0.49999999999999994,0.6066784869976359,0.6070175438596491,0.6066784869976359,0.5912408759124088,92,52,60,81,0.6166272655634357,0.5462962962962963,0.5470875479595396,0.5148514851485149,33,28,21,26,0.5420299965120334,0.5428571428571428,0.5438371239911959,0.52,31,27,21,26,0.5396184886280263
none,32,0.6356474757194519,logreg_c1,none,none,balanced_accuracy,0.48999999999999994,0.6806294326241135,0.6807017543859649,0.6806294326241135,0.6761565836298933,99,45,46,95,0.7129137115839244,0.5833333333333334,0.5481339379141961,0.36619718309859156,50,11,34,13,0.603418207185211,0.5714285714285714,0.543470286133529,0.36619718309859156,47,11,34,13,0.5928099779897286
none,32,0.6357672214508057,logreg_c01,none,p85,balanced_accuracy,0.4499999999999999,0.6815159574468085,0.6807017543859649,0.6815159574468085,0.7016393442622951,87,57,34,107,0.7398049645390071,0.5833333333333334,0.5481339379141961,0.36619718309859156,50,11,34,13,0.5730728985001743,0.5714285714285714,0.543470286133529,0.36619718309859156,47,11,34,13,0.5656639765223771
none,128,0.8977434635162354,extra_d5,none,p90,balanced_accuracy,0.49999999999999994,0.6488622931442081,0.6491228070175439,0.6488622931442081,0.6376811594202898,97,47,53,88,0.704048463356974,0.5740740740740741,0.5399372166027206,0.3611111111111111,49,12,34,13,0.5378444366934078,0.5714285714285714,0.543470286133529,0.36619718309859156,47,11,34,13,0.5385179750550256
diag,64,0.7727391123771667,logreg_c001,none,none,balanced_accuracy,0.4699999999999999,0.6852098108747045,0.6842105263157895,0.6852098108747045,0.7096774193548387,85,59,31,110,0.739164696611505,0.5277777777777778,0.5404604115800489,0.5405405405405406,27,34,17,30,0.5587722357865363,0.5333333333333333,0.5432868672046955,0.5504587155963303,26,32,17,30,0.5553925165077036
coral,128,0.8976520895957947,extra_d5,maxsim,none,balanced_accuracy,0.48999999999999994,0.5903516548463357,0.5894736842105263,0.5903516548463357,0.6188925081433225,73,71,46,95,0.6155437352245863,0.5370370370370371,0.5486571328915243,0.5454545454545454,28,33,17,30,0.545517963027555,0.5333333333333333,0.5432868672046955,0.5504587155963303,26,32,17,30,0.541452677916361
coral,200,0.9631046056747437,extra_d5,none,p90,balanced_accuracy,0.48999999999999994,0.5619828605200945,0.5614035087719298,0.5619828605200945,0.5819397993311036,73,71,54,87,0.5518124507486211,0.5277777777777778,0.5404604115800489,0.5405405405405406,27,34,17,30,0.5549354726194629,0.5333333333333333,0.5432868672046955,0.5504587155963303,26,32,17,30,0.5531914893617021
coral,128,0.8977469801902771,logreg_c001,none,p80,balanced_accuracy,0.5399999999999999,0.6269208037825059,0.6280701754385964,0.6269208037825059,0.5793650793650794,106,38,68,73,0.6598699763593381,0.5555555555555556,0.5430763864666899,0.4666666666666667,39,22,26,21,0.5277293337983955,0.5523809523809524,0.5423697725605283,0.47191011235955055,37,21,26,21,0.5311812179016875
