hard_detector,corrector,recall_target,corrector_scope,hard_auc,pass_n,pass_frac,hardlike_n,hardlike_frac,pass_accuracy,pass_hard_contamination,hard_recall_in_hardlike,hard_precision_in_hardlike,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,hardcore_base_accuracy,hardcore_final_accuracy,hardlike_base_accuracy,hardlike_final_accuracy,rescued_total,hurt_total,rescued_hardcore,hurt_hardcore
hard_rf,corr_logreg,0.7,pred_hardlike_train,0.6334965034965034,106,0.3719298245614035,179,0.6280701754385964,0.8679245283018868,0.12264150943396226,0.8,0.2905027932960894,0.7684210526315789,0.7684692671394799,0.7403508771929824,0.7402482269503546,0.75,0.7304964539007093,108,36,38,103,0.27692307692307694,0.3384615384615385,0.7094972067039106,0.664804469273743,15,23,9,5
hard_logreg,corr_logreg,0.95,pred_hardlike_train,0.5682517482517482,19,0.06666666666666667,266,0.9333333333333333,0.8421052631578947,0.21052631578947367,0.9384615384615385,0.22932330827067668,0.7684210526315789,0.7684692671394799,0.7368421052631579,0.7372931442080378,0.6944444444444444,0.7801418439716312,100,44,31,110,0.27692307692307694,0.4461538461538462,0.7631578947368421,0.7293233082706767,22,31,15,4
hard_logreg,corr_logreg,0.9,pred_hardlike_train,0.5682517482517482,48,0.16842105263157894,237,0.8315789473684211,0.8541666666666666,0.14583333333333334,0.8923076923076924,0.24472573839662448,0.7684210526315789,0.7684692671394799,0.7368421052631579,0.7369237588652482,0.7291666666666666,0.7446808510638298,105,39,36,105,0.27692307692307694,0.38461538461538464,0.7510548523206751,0.7130801687763713,19,28,12,5
hard_rf,corr_logreg,0.95,all_train,0.6334965034965034,20,0.07017543859649122,265,0.9298245614035088,0.85,0.15,0.9538461538461539,0.2339622641509434,0.7684210526315789,0.7684692671394799,0.7333333333333333,0.7333776595744681,0.7291666666666666,0.7375886524822695,105,39,37,104,0.27692307692307694,0.4153846153846154,0.7622641509433963,0.7245283018867924,18,28,13,4
hard_rf,corr_logreg,0.8,pred_hardlike_train,0.6334965034965034,85,0.2982456140350877,200,0.7017543859649122,0.8823529411764706,0.11764705882352941,0.8461538461538461,0.275,0.7684210526315789,0.7684692671394799,0.7298245614035088,0.72975768321513,0.7361111111111112,0.723404255319149,106,38,39,102,0.27692307692307694,0.4,0.72,0.665,18,29,13,5
hard_logreg,corr_logreg,0.8,pred_hardlike_train,0.5682517482517482,66,0.23157894736842105,219,0.7684210526315789,0.803030303030303,0.16666666666666666,0.8307692307692308,0.2465753424657534,0.7684210526315789,0.7684692671394799,0.7228070175438597,0.7228871158392436,0.7152777777777778,0.7304964539007093,103,41,38,103,0.27692307692307694,0.27692307692307694,0.7579908675799086,0.6986301369863014,13,26,7,7
hard_logreg,corr_logreg,0.7,pred_hardlike_train,0.5682517482517482,93,0.3263157894736842,192,0.6736842105263158,0.7956989247311828,0.1827956989247312,0.7384615384615385,0.25,0.7684210526315789,0.7684692671394799,0.712280701754386,0.7126182033096926,0.6805555555555556,0.7446808510638298,98,46,36,105,0.27692307692307694,0.2923076923076923,0.7552083333333334,0.671875,12,28,7,6
hard_rf,corr_logreg,0.9,pred_hardlike_train,0.6334965034965034,65,0.22807017543859648,220,0.7719298245614035,0.9230769230769231,0.09230769230769231,0.9076923076923077,0.2681818181818182,0.7684210526315789,0.7684692671394799,0.7087719298245614,0.7089243498817968,0.6944444444444444,0.723404255319149,100,44,39,102,0.27692307692307694,0.38461538461538464,0.7227272727272728,0.6454545454545455,16,33,10,3
hard_extra,corr_logreg,0.9,pred_hardlike_train,0.6319580419580421,40,0.14035087719298245,245,0.8596491228070176,0.875,0.125,0.9230769230769231,0.24489795918367346,0.7684210526315789,0.7684692671394799,0.7052631578947368,0.7055998817966903,0.6736111111111112,0.7375886524822695,97,47,37,104,0.27692307692307694,0.4,0.7510204081632653,0.6775510204081633,19,37,13,5
hard_extra,corr_logreg,0.95,pred_hardlike_train,0.6319580419580421,23,0.08070175438596491,262,0.9192982456140351,0.8260869565217391,0.17391304347826086,0.9384615384615385,0.23282442748091603,0.7684210526315789,0.7684692671394799,0.7052631578947368,0.7055260047281324,0.6805555555555556,0.7304964539007093,98,46,38,103,0.27692307692307694,0.38461538461538464,0.7633587786259542,0.6946564885496184,17,35,11,4
hard_rf,corr_logreg,0.95,pred_hardlike_train,0.6334965034965034,20,0.07017543859649122,265,0.9298245614035088,0.85,0.15,0.9538461538461539,0.2339622641509434,0.7684210526315789,0.7684692671394799,0.7052631578947368,0.7053782505910166,0.6944444444444444,0.7163120567375887,100,44,40,101,0.27692307692307694,0.38461538461538464,0.7622641509433963,0.6943396226415094,17,35,11,4
