gate_score,gate_target_accept_acc,gate_selection_mode,feature_set,model,train_scope,accept_n,accept_frac,review_n,review_frac,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_base_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
all_range,0.9,raw,raw_outputs,extra,all_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.8095238095238095,0.7651515151515151,0.7575757575757576,0.7578125,0.7573529411764706,1,3,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,all_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.8461538461538461,0.7647058823529411,0.7573529411764706,0.7307692307692307,0.7816901408450704,1,3,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.9,raw,raw_outputs,extra,all_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.8823529411764706,0.7529880478087649,0.7450199203187251,0.717948717948718,0.7686567164179104,1,3,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,raw,raw_outputs,extra,all_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.8666666666666667,0.7568627450980392,0.7490196078431373,0.71900826446281,0.7761194029850746,1,3,0,0.26153846153846155,0,1
upper_low_conf,0.95,raw,raw_outputs,extra,all_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.9137931034482759,0.7312775330396476,0.7224669603524229,0.7232142857142857,0.7217391304347827,1,3,0,0.26153846153846155,0,1
all_range,0.95,raw,raw_outputs,extra,all_train,4,0.014035087719298246,281,0.9859649122807017,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.5,0.7722419928825622,0.7651245551601423,0.7608695652173914,0.7692307692307693,1,3,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,raw,raw_outputs,extra,all_train,0,0.0,285,1.0,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,,0.7684210526315789,0.7614035087719299,0.75177304964539,0.7708333333333334,1,3,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,raw,raw_outputs,extra,all_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.9,0.7584905660377359,0.7509433962264151,0.72,0.7785714285714286,1,3,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.95,raw,raw_outputs,extra,all_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.9047619047619048,0.7575757575757576,0.75,0.717741935483871,0.7785714285714286,1,3,0,0.26153846153846155,0,1
upper_low_conf,0.95,raw,raw_outputs,extra,review_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.9137931034482759,0.7312775330396476,0.7224669603524229,0.7232142857142857,0.7217391304347827,1,3,0,0.26153846153846155,0,1
all_range,0.95,raw,raw_outputs,extra,review_train,4,0.014035087719298246,281,0.9859649122807017,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.5,0.7722419928825622,0.7651245551601423,0.7608695652173914,0.7692307692307693,1,3,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,raw,raw_outputs,extra,review_train,0,0.0,285,1.0,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,,0.7684210526315789,0.7614035087719299,0.75177304964539,0.7708333333333334,1,3,0,0.26153846153846155,0,1
