accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,fold_id,threshold,inner_accuracy,inner_balanced_accuracy,inner_auc,inner_f1,inner_sensitivity,inner_specificity,inner_tn,inner_fp,inner_fn,inner_tp,feature_set,model,threshold_mode
0.8947368421052632,0.8947044334975369,0.9261083743842365,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.5449999999999999,0.8157894736842105,0.8154674874951904,0.8254713351288957,0.8073394495412844,0.7787610619469026,0.8521739130434782,98,17,25,88,candidates_only,logreg_c03,bacc
0.8421052631578947,0.8405172413793103,0.8743842364532021,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.515,0.8289473684210527,0.8280480295566502,0.8316656403940887,0.8169014084507042,0.7767857142857143,0.8793103448275862,102,14,25,87,candidates_only,logreg_c03,acc
0.7894736842105263,0.7869458128078818,0.7943349753694582,0.75,0.6428571428571429,0.9310344827586207,27,2,10,18,2,0.48,0.8421052631578947,0.8420931127356676,0.8509426702577915,0.8407079646017699,0.8407079646017699,0.8434782608695652,97,18,18,95,candidates_only,logreg_c03,acc
0.8070175438596491,0.8066502463054187,0.8448275862068966,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.42500000000000004,0.8377192982456141,0.8376683339746056,0.8200846479415158,0.8355555555555556,0.831858407079646,0.8434782608695652,97,18,19,94,candidates_only,logreg_c03,acc
0.8070175438596491,0.8066502463054187,0.8374384236453202,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,4,0.5,0.8377192982456141,0.8375144286263948,0.8383224317045017,0.832579185520362,0.8141592920353983,0.8608695652173913,99,16,21,92,candidates_only,logreg_c03,acc
0.8947368421052632,0.8947044334975369,0.9261083743842365,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.5449999999999999,0.8157894736842105,0.8154674874951904,0.8254713351288957,0.8073394495412844,0.7787610619469026,0.8521739130434782,98,17,25,88,candidates_only,logreg_c03,acc
0.8421052631578947,0.8405172413793103,0.8743842364532021,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.515,0.8289473684210527,0.8280480295566502,0.8316656403940887,0.8169014084507042,0.7767857142857143,0.8793103448275862,102,14,25,87,candidates_only,logreg_c03,f1
0.7894736842105263,0.7869458128078818,0.7943349753694582,0.75,0.6428571428571429,0.9310344827586207,27,2,10,18,2,0.48,0.8421052631578947,0.8420931127356676,0.8509426702577915,0.8407079646017699,0.8407079646017699,0.8434782608695652,97,18,18,95,candidates_only,logreg_c03,f1
0.8070175438596491,0.8066502463054187,0.8448275862068966,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.42500000000000004,0.8377192982456141,0.8376683339746056,0.8200846479415158,0.8355555555555556,0.831858407079646,0.8434782608695652,97,18,19,94,candidates_only,logreg_c03,f1
0.8070175438596491,0.8066502463054187,0.8374384236453202,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,4,0.5,0.8377192982456141,0.8375144286263948,0.8383224317045017,0.832579185520362,0.8141592920353983,0.8608695652173913,99,16,21,92,candidates_only,logreg_c03,f1
