accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.8070175438596491,0.8068853427895981,0.8245173364854216,0.8028673835125448,0.7943262411347518,0.8194444444444444,118,26,29,112,logreg_c003,f1,candidates_plus_raw_outputs
0.8070175438596491,0.8068114657210401,0.8378398345153664,0.8014440433212996,0.7872340425531915,0.8263888888888888,119,25,30,111,hgb_leaf3,bacc,candidates_plus_raw_outputs
0.8070175438596491,0.8068114657210401,0.8378398345153664,0.8014440433212996,0.7872340425531915,0.8263888888888888,119,25,30,111,hgb_leaf3,acc,candidates_plus_raw_outputs
0.8035087719298246,0.8035608747044918,0.8292700945626477,0.8028169014084507,0.8085106382978723,0.7986111111111112,115,29,27,114,extra_d3_l8,bacc_sens80,candidates_only
0.8035087719298246,0.8035608747044918,0.8292700945626477,0.8028169014084507,0.8085106382978723,0.7986111111111112,115,29,27,114,extra_d3_l8,acc_sens80,candidates_only
0.8035087719298246,0.803339243498818,0.8245173364854216,0.7985611510791367,0.7872340425531915,0.8194444444444444,118,26,30,111,logreg_c003,bacc,candidates_plus_raw_outputs
0.8035087719298246,0.803339243498818,0.8245173364854216,0.7985611510791367,0.7872340425531915,0.8194444444444444,118,26,30,111,logreg_c003,acc,candidates_plus_raw_outputs
0.8,0.8002364066193853,0.8259456264775413,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr05,bacc_sens80,candidates_only
0.8,0.8002364066193853,0.8259456264775413,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr05,acc_sens80,candidates_only
0.8,0.8002364066193853,0.8238770685579195,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr03,bacc_sens80,candidates_only
0.8,0.8002364066193853,0.8238770685579195,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr03,acc_sens80,candidates_only
0.8,0.8001625295508275,0.8238770685579195,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,gb_d1_lr03,bacc,candidates_only
0.8,0.8001625295508275,0.8238770685579195,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,gb_d1_lr03,acc,candidates_only
0.8,0.8001625295508275,0.8238770685579195,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,gb_d1_lr03,f1,candidates_only
0.8,0.8001625295508275,0.8209712371946415,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,extra_d2_l10,bacc_sens80,candidates_only
