n,threshold,accuracy,balanced_accuracy,auc,f1,high_recall,low_specificity,tn,fp,fn,tp,domain,model_tag,feature_set,base_model,threshold_source,n_features
108,0.447492121869548,0.5833333333333334,0.6164980816184165,0.6721311475409837,0.6456692913385826,0.8723404255319149,0.36065573770491804,22,39,6,41,strict_external,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,old_third_meta_oof_selected,190
108,0.46147240449904026,0.5740740740740741,0.610742936867806,0.6505057551447506,0.6461538461538462,0.8936170212765957,0.32786885245901637,20,41,5,42,strict_external,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,old_third_meta_oof_selected,15
108,0.5,0.5833333333333334,0.6067317753749564,0.6721311475409837,0.6218487394957983,0.7872340425531915,0.4262295081967213,26,35,10,37,strict_external,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,fixed_0.5,190
108,0.46686913158087384,0.5648148148148148,0.6025462155563306,0.6466689919776769,0.6412213740458015,0.8936170212765957,0.3114754098360656,19,42,5,42,strict_external,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,old_third_meta_oof_selected,15
108,0.5,0.5648148148148148,0.6001046389954656,0.6724799441925358,0.6356589147286822,0.8723404255319149,0.32786885245901637,20,41,6,41,strict_external,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,fixed_0.5,190
108,0.5027552360726585,0.5648148148148148,0.6001046389954656,0.6724799441925358,0.6356589147286822,0.8723404255319149,0.32786885245901637,20,41,6,41,strict_external,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,old_third_meta_oof_selected,190
108,0.5,0.5648148148148148,0.5952214858737356,0.6721311475409835,0.624,0.8297872340425532,0.36065573770491804,22,39,8,39,strict_external,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,fixed_0.5,15
108,0.45200356990885804,0.5555555555555556,0.5943494942448553,0.6445762120683641,0.6363636363636364,0.8936170212765957,0.29508196721311475,18,43,5,42,strict_external,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,old_third_meta_oof_selected,15
108,0.5,0.5555555555555556,0.5894663411231252,0.6466689919776769,0.625,0.851063829787234,0.32786885245901637,20,41,7,40,strict_external,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,fixed_0.5,15
108,0.5,0.5555555555555556,0.5870247645622602,0.6505057551447506,0.6190476190476191,0.8297872340425532,0.3442622950819672,21,40,8,39,strict_external,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,fixed_0.5,15
108,0.5,0.5555555555555556,0.5845831880013952,0.680502267178235,0.6129032258064516,0.8085106382978723,0.36065573770491804,22,39,9,38,strict_external,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,fixed_0.5,190
108,0.39581059832336696,0.5462962962962963,0.5837111963725148,0.6721311475409835,0.6259541984732825,0.8723404255319149,0.29508196721311475,18,43,6,41,strict_external,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,old_third_meta_oof_selected,15
108,0.5,0.5555555555555556,0.5748168817579351,0.6243460062783397,0.5862068965517241,0.723404255319149,0.4262295081967213,26,35,13,34,strict_external,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,fixed_0.5,190
108,0.5,0.5370370370370371,0.5730728985001744,0.6445762120683641,0.6153846153846154,0.851063829787234,0.29508196721311475,18,43,7,40,strict_external,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,fixed_0.5,15
108,0.44443579423655155,0.5370370370370371,0.5730728985001744,0.680502267178235,0.6153846153846154,0.851063829787234,0.29508196721311475,18,43,7,40,strict_external,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,old_third_meta_oof_selected,190
108,0.43560188866171035,0.5370370370370371,0.5608650156958492,0.6243460062783397,0.5833333333333334,0.7446808510638298,0.3770491803278688,23,38,12,35,strict_external,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,old_third_meta_oof_selected,190
108,0.4148305775250635,0.5185185185185185,0.5151726543425184,0.5172654342518311,0.46938775510204084,0.48936170212765956,0.5409836065573771,33,28,24,23,strict_external,roi_only__random_forest_balanced,roi_only,random_forest_balanced,old_third_meta_oof_selected,175
108,0.5,0.5370370370370371,0.514475061039414,0.5388908266480641,0.3902439024390244,0.3404255319148936,0.6885245901639344,42,19,31,16,strict_external,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,fixed_0.5,175
108,0.5,0.5648148148148148,0.512207882804325,0.5172654342518311,0.17543859649122806,0.10638297872340426,0.9180327868852459,56,5,42,5,strict_external,roi_only__random_forest_balanced,roi_only,random_forest_balanced,fixed_0.5,175
108,0.45036954699827436,0.46296296296296297,0.495291245204046,0.5388908266480641,0.546875,0.7446808510638298,0.2459016393442623,15,46,12,35,strict_external,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,old_third_meta_oof_selected,175
