candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
meta__logreg_balanced_c1,accuracy,third_adapt72_only,0,0.3,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9326298701298701,0.3,0.3504273504273504,0.4743555316863588,0.24752475247524752,57,139,13,25,0.6578947368421053,0.29081632653061223,0.5197368421052632
meta__logreg_balanced_c1,high_sens75,third_adapt72_only,0,0.3,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9326298701298701,0.3,0.3504273504273504,0.4743555316863588,0.24752475247524752,57,139,13,25,0.6578947368421053,0.29081632653061223,0.5197368421052632
meta__logreg_balanced_c1,high_sens85,third_adapt72_only,0,0.3,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9326298701298701,0.3,0.3504273504273504,0.4743555316863588,0.24752475247524752,57,139,13,25,0.6578947368421053,0.29081632653061223,0.5197368421052632
single__12_tta_orig_flip_whole_crop_64style__reviewer_prob_high,accuracy,third_adapt72_only,0,0.09,0.5972222222222222,0.5340909090909092,0.7128712871287128,7,21,8,36,0.8181818181818182,0.25,0.5162337662337662,0.09,0.2863247863247863,0.46791084854994625,0.25112107623318386,39,157,10,28,0.7368421052631579,0.1989795918367347,0.5009398496240601
single__12_tta_orig_flip_whole_crop_64style__reviewer_prob_high,high_sens75,third_adapt72_only,0,0.09,0.5972222222222222,0.5340909090909092,0.7128712871287128,7,21,8,36,0.8181818181818182,0.25,0.5162337662337662,0.09,0.2863247863247863,0.46791084854994625,0.25112107623318386,39,157,10,28,0.7368421052631579,0.1989795918367347,0.5009398496240601
single__03_crop_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.41999999999999993,0.5694444444444444,0.5957792207792207,0.5753424657534246,20,8,23,21,0.4772727272727273,0.7142857142857143,0.5446428571428572,0.41999999999999993,0.5854700854700855,0.4661654135338346,0.18487394957983194,126,70,27,11,0.2894736842105263,0.6428571428571429,0.4633458646616541
single__12_tta_orig_flip_whole_crop_64style__reviewer_prob_high,high_sens85,third_adapt72_only,0,0.075,0.5972222222222222,0.5275974025974026,0.7184466019417476,6,22,7,37,0.8409090909090909,0.21428571428571427,0.5162337662337662,0.075,0.26495726495726496,0.45515574650912993,0.24561403508771928,34,162,10,28,0.7368421052631579,0.17346938775510204,0.5009398496240601
single__01_whole_64style__reviewer_prob_high,accuracy,third_adapt72_only,0,0.15999999999999998,0.6111111111111112,0.512987012987013,0.75,2,26,2,42,0.9545454545454546,0.07142857142857142,0.4237012987012987,0.15999999999999998,0.16666666666666666,0.4495166487647691,0.25287356321839083,6,190,5,33,0.868421052631579,0.030612244897959183,0.287593984962406
single__01_whole_64style__reviewer_prob_high,high_sens75,third_adapt72_only,0,0.15999999999999998,0.6111111111111112,0.512987012987013,0.75,2,26,2,42,0.9545454545454546,0.07142857142857142,0.4237012987012987,0.15999999999999998,0.16666666666666666,0.4495166487647691,0.25287356321839083,6,190,5,33,0.868421052631579,0.030612244897959183,0.287593984962406
single__01_whole_64style__reviewer_prob_high,high_sens85,third_adapt72_only,0,0.15999999999999998,0.6111111111111112,0.512987012987013,0.75,2,26,2,42,0.9545454545454546,0.07142857142857142,0.4237012987012987,0.15999999999999998,0.16666666666666666,0.4495166487647691,0.25287356321839083,6,190,5,33,0.868421052631579,0.030612244897959183,0.287593984962406
