profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt150_high_focus,extratrees_3,4,balanced_accuracy,0.4699999999999999,AB,132,59,0.44696969696969696
adapt150_high_focus,extratrees_3,4,balanced_accuracy,0.4699999999999999,B1,6,1,0.16666666666666666
adapt150_high_focus,extratrees_3,4,balanced_accuracy,0.4699999999999999,B2,7,6,0.8571428571428571
adapt150_high_focus,extratrees_3,4,balanced_accuracy,0.4699999999999999,TC,11,11,1.0
adapt150_high_focus,extratrees_3,4,accuracy,0.4699999999999999,AB,132,59,0.44696969696969696
adapt150_high_focus,extratrees_3,4,accuracy,0.4699999999999999,B1,6,1,0.16666666666666666
adapt150_high_focus,extratrees_3,4,accuracy,0.4699999999999999,B2,7,6,0.8571428571428571
adapt150_high_focus,extratrees_3,4,accuracy,0.4699999999999999,TC,11,11,1.0
adapt150_high_focus,extratrees_5,1,balanced_accuracy,0.5199999999999999,AB,132,118,0.8939393939393939
adapt150_high_focus,extratrees_5,1,balanced_accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,extratrees_5,1,balanced_accuracy,0.5199999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,extratrees_5,1,balanced_accuracy,0.5199999999999999,TC,11,7,0.6363636363636364
adapt150_high_focus,extratrees_5,1,accuracy,0.5199999999999999,AB,132,118,0.8939393939393939
adapt150_high_focus,extratrees_5,1,accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,extratrees_5,1,accuracy,0.5199999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,extratrees_5,1,accuracy,0.5199999999999999,TC,11,7,0.6363636363636364
adapt150_high_focus,extratrees_5,2,balanced_accuracy,0.4699999999999999,AB,132,71,0.5378787878787878
adapt150_high_focus,extratrees_5,2,balanced_accuracy,0.4699999999999999,B1,6,1,0.16666666666666666
adapt150_high_focus,extratrees_5,2,balanced_accuracy,0.4699999999999999,B2,7,6,0.8571428571428571
adapt150_high_focus,extratrees_5,2,balanced_accuracy,0.4699999999999999,TC,11,10,0.9090909090909091
adapt150_high_focus,extratrees_5,2,accuracy,0.5299999999999999,AB,132,118,0.8939393939393939
adapt150_high_focus,extratrees_5,2,accuracy,0.5299999999999999,B1,6,2,0.3333333333333333
adapt150_high_focus,extratrees_5,2,accuracy,0.5299999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,extratrees_5,2,accuracy,0.5299999999999999,TC,11,5,0.45454545454545453
adapt150_high_focus,extratrees_5,4,balanced_accuracy,0.5399999999999999,AB,132,118,0.8939393939393939
adapt150_high_focus,extratrees_5,4,balanced_accuracy,0.5399999999999999,B1,6,3,0.5
adapt150_high_focus,extratrees_5,4,balanced_accuracy,0.5399999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,extratrees_5,4,balanced_accuracy,0.5399999999999999,TC,11,5,0.45454545454545453
adapt150_high_focus,extratrees_5,4,accuracy,0.5399999999999999,AB,132,118,0.8939393939393939
adapt150_high_focus,extratrees_5,4,accuracy,0.5399999999999999,B1,6,3,0.5
adapt150_high_focus,extratrees_5,4,accuracy,0.5399999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,extratrees_5,4,accuracy,0.5399999999999999,TC,11,5,0.45454545454545453
adapt180_mixed,logreg_0.0003,1,balanced_accuracy,0.59,AB,102,96,0.9411764705882353
adapt180_mixed,logreg_0.0003,1,balanced_accuracy,0.59,B1,4,2,0.5
adapt180_mixed,logreg_0.0003,1,balanced_accuracy,0.59,B2,7,4,0.5714285714285714
adapt180_mixed,logreg_0.0003,1,balanced_accuracy,0.59,TC,13,9,0.6923076923076923
adapt180_mixed,logreg_0.0003,1,accuracy,0.59,AB,102,96,0.9411764705882353
adapt180_mixed,logreg_0.0003,1,accuracy,0.59,B1,4,2,0.5
adapt180_mixed,logreg_0.0003,1,accuracy,0.59,B2,7,4,0.5714285714285714
adapt180_mixed,logreg_0.0003,1,accuracy,0.59,TC,13,9,0.6923076923076923
adapt180_mixed,logreg_0.0003,2,balanced_accuracy,0.48999999999999994,AB,102,76,0.7450980392156863
adapt180_mixed,logreg_0.0003,2,balanced_accuracy,0.48999999999999994,B1,4,0,0.0
adapt180_mixed,logreg_0.0003,2,balanced_accuracy,0.48999999999999994,B2,7,6,0.8571428571428571
adapt180_mixed,logreg_0.0003,2,balanced_accuracy,0.48999999999999994,TC,13,11,0.8461538461538461
adapt180_mixed,logreg_0.0003,2,accuracy,0.5099999999999999,AB,102,80,0.7843137254901961
adapt180_mixed,logreg_0.0003,2,accuracy,0.5099999999999999,B1,4,1,0.25
adapt180_mixed,logreg_0.0003,2,accuracy,0.5099999999999999,B2,7,6,0.8571428571428571
adapt180_mixed,logreg_0.0003,2,accuracy,0.5099999999999999,TC,13,11,0.8461538461538461
adapt180_mixed,logreg_0.0003,4,balanced_accuracy,0.5399999999999999,AB,102,85,0.8333333333333334
adapt180_mixed,logreg_0.0003,4,balanced_accuracy,0.5399999999999999,B1,4,0,0.0
adapt180_mixed,logreg_0.0003,4,balanced_accuracy,0.5399999999999999,B2,7,6,0.8571428571428571
adapt180_mixed,logreg_0.0003,4,balanced_accuracy,0.5399999999999999,TC,13,12,0.9230769230769231
