accuracy,balanced_accuracy,auc,ap,f1,precision,recall,tn,fp,fn,tp,threshold,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,top38_precision,top38_recall,top65_precision,top65_recall,top80_precision,top80_recall,top100_precision,top100_recall,run_name,target,feature_set,classifier,positives,top47_precision,top47_recall,top27_precision,top27_recall
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_hand__logreg_c1,best41_wrong,gross_hand,logreg_c1,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_hand__extra,best41_wrong,gross_hand,extra,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_text_hand__logreg,best41_wrong,gross_text_hand,logreg,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_text_hand__logreg_c1,best41_wrong,gross_text_hand,logreg_c1,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_hand_model__logreg,best41_wrong,gross_hand_model,logreg,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_hand_model__logreg_c1,best41_wrong,gross_hand_model,logreg_c1,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_text_hand_model__logreg,best41_wrong,gross_text_hand_model,logreg,47,1.0,1.0,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_text_hand_model__logreg_c1,best41_wrong,gross_text_hand_model,logreg_c1,47,1.0,1.0,,
0.9473684210526315,0.9343375648131593,0.9693366708385481,0.93217470736438,0.8514851485148515,0.7962962962962963,0.9148936170212766,227,11,4,43,0.4699999999999999,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,0.9736842105263158,0.7872340425531915,,,0.55,0.9361702127659575,0.44,0.9361702127659575,best41_wrong__gross_hand_model__extra,best41_wrong,gross_hand_model,extra,47,0.851063829787234,0.851063829787234,,
0.8912280701754386,0.9177990345074201,0.9713928124441266,0.9035885212228437,0.743801652892562,0.6081081081081081,0.9574468085106383,209,29,2,45,0.4799999999999999,1.0,0.2127659574468085,1.0,0.425531914893617,0.9666666666666667,0.6170212765957447,0.8421052631578947,0.6808510638297872,,,0.5625,0.9574468085106383,0.46,0.9787234042553191,best41_wrong__gross_text_hand__extra,best41_wrong,gross_text_hand,extra,47,0.8085106382978723,0.8085106382978723,,
0.8245614035087719,0.8095834078312176,0.8685857321652065,0.6188431881172431,0.5967741935483871,0.4805194805194805,0.7872340425531915,198,40,10,37,0.4799999999999999,0.8,0.1702127659574468,0.8,0.3404255319148936,0.7,0.44680851063829785,0.631578947368421,0.5106382978723404,,,0.4625,0.7872340425531915,0.38,0.8085106382978723,best41_wrong__gross_text_hand_model__extra,best41_wrong,gross_text_hand_model,extra,47,0.5531914893617021,0.5531914893617021,,
0.8350877192982457,0.798811013767209,0.8305918111925622,0.5227629224752988,0.5982905982905983,0.5,0.7446808510638298,203,35,12,35,0.48999999999999994,0.4,0.0851063829787234,0.65,0.2765957446808511,0.6333333333333333,0.40425531914893614,0.631578947368421,0.5106382978723404,,,0.4375,0.7446808510638298,0.37,0.7872340425531915,best41_wrong__model_visible__extra,best41_wrong,model_visible,extra,47,0.6595744680851063,0.6595744680851063,,
0.7578947368421053,0.761129983908457,0.765331664580726,0.34847443656578236,0.5106382978723404,0.3829787234042553,0.7659574468085106,180,58,11,36,0.3499999999999999,0.1,0.02127659574468085,0.2,0.0851063829787234,0.36666666666666664,0.23404255319148937,0.39473684210526316,0.3191489361702128,,,0.4125,0.7021276595744681,0.36,0.7659574468085106,best41_wrong__model_visible__logreg,best41_wrong,model_visible,logreg,47,0.46808510638297873,0.46808510638297873,,
0.8245614035087719,0.7412837475415699,0.741373145002682,0.3291029089601065,0.5370370370370371,0.47540983606557374,0.6170212765957447,206,32,18,29,0.5599999999999999,0.1,0.02127659574468085,0.15,0.06382978723404255,0.3,0.19148936170212766,0.4473684210526316,0.3617021276595745,,,0.375,0.6382978723404256,0.33,0.7021276595744681,best41_wrong__model_visible__logreg_c1,best41_wrong,model_visible,logreg_c1,47,0.44680851063829785,0.44680851063829785,,
0.3929824561403509,0.5426425889504738,0.4853388163776149,0.1884369985659548,0.2938775510204082,0.18181818181818182,0.7659574468085106,76,162,11,36,0.37999999999999995,0.2,0.0425531914893617,0.2,0.0851063829787234,0.2,0.1276595744680851,0.18421052631578946,0.14893617021276595,,,0.1375,0.23404255319148937,0.12,0.2553191489361702,best41_wrong__gross_text__logreg_c1,best41_wrong,gross_text,logreg_c1,47,0.14893617021276595,0.14893617021276595,,
0.7649122807017544,0.5177453960307528,0.4839084569998212,0.18799659229678695,0.1728395061728395,0.20588235294117646,0.14893617021276595,211,27,40,7,0.48999999999999994,0.2,0.0425531914893617,0.2,0.0851063829787234,0.2,0.1276595744680851,0.18421052631578946,0.14893617021276595,,,0.1375,0.23404255319148937,0.11,0.23404255319148937,best41_wrong__gross_text__logreg,best41_wrong,gross_text,logreg,47,0.14893617021276595,0.14893617021276595,,
0.25263157894736843,0.5439835508671553,0.5113534775612373,0.17573947535095474,0.3016393442622951,0.17829457364341086,0.9787234042553191,26,212,1,46,0.4499999999999999,0.2,0.0425531914893617,0.2,0.0851063829787234,0.16666666666666666,0.10638297872340426,0.18421052631578946,0.14893617021276595,,,0.1375,0.23404255319148937,0.16,0.3404255319148936,best41_wrong__gross_text__extra,best41_wrong,gross_text,extra,47,0.1702127659574468,0.1702127659574468,,
0.8947368421052632,0.9318181818181819,0.9576223776223777,0.8177778851635399,0.8125,0.6842105263157895,1.0,190,30,0,65,0.5199999999999999,0.9,0.13846153846153847,0.85,0.26153846153846155,0.8666666666666667,0.4,0.7894736842105263,0.46153846153846156,0.7846153846153846,0.7846153846153846,0.725,0.8923076923076924,0.65,1.0,hard_core__gross_hand_model__extra,hard_core,gross_hand_model,extra,65,,,,
