policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_plus_rank_ood,image_plus_model_isolation_forest,0.25,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,470,0.7952622673434856,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.25,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,90,0.8333333333333334,1,30,14,16,2
v50_plus_rank_ood,image_plus_model_mahalanobis,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,430,0.727580372250423,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_mahalanobis,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,430,0.727580372250423,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,84,0.7777777777777778,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_mahalanobis,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,434,0.7343485617597293,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.075,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,87,0.8055555555555556,1,30,15,15,2
v50_plus_rank_ood,image_plus_model_mahalanobis,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,436,0.7377326565143824,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.1,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,90,0.8333333333333334,1,30,15,15,2
v50_plus_rank_ood,image_plus_model_mahalanobis,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,437,0.739424703891709,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.125,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,93,0.8611111111111112,1,30,15,15,2
v50_plus_rank_ood,image_plus_model_mahalanobis,0.15,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,438,0.7411167512690355,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.15,external,0.9814814814814815,0.9836065573770492,1.0,0.9672131147540983,0.9591836734693877,0.9791666666666666,59,2,0,47,95,0.8796296296296297,1,30,15,15,2
v50_plus_rank_ood,image_plus_model_mahalanobis,0.2,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,443,0.7495769881556683,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_mahalanobis,0.2,external,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,101,0.9351851851851852,2,31,15,16,1
v50_plus_rank_ood,image_plus_model_mahalanobis,0.25,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,451,0.7631133671742809,1,85,33,52,6
v50_plus_rank_ood,image_plus_model_mahalanobis,0.25,external,0.9907407407407407,0.9918032786885246,1.0,0.9836065573770492,0.9791666666666666,0.9894736842105264,60,1,0,47,102,0.9444444444444444,2,31,15,16,1
v50_plus_rank_ood,low_confidence,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,428,0.7241962774957699,0,84,32,52,7
v50_plus_rank_ood,low_confidence,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,428,0.7241962774957699,0,84,32,52,7
v50_plus_rank_ood,low_confidence,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,428,0.7241962774957699,0,84,32,52,7
v50_plus_rank_ood,low_confidence,0.075,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,81,0.75,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,429,0.7258883248730964,0,84,32,52,7
v50_plus_rank_ood,low_confidence,0.1,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,430,0.727580372250423,0,84,32,52,7
v50_plus_rank_ood,low_confidence,0.125,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,0,29,14,15,3
