candidate,objective,threshold,scope,selection_score,accuracy,balanced_accuracy,f1,sensitivity_high,specificity_low,tn,fp,fn,tp,auc
stack_extra_d3_multiview,high_sensitivity,0.20499999999999996,strict_external_locked,0.931084519399493,48.15%,53.12%,60.56%,91.49%,14.75%,9,52,4,43,64.98%
avg_core_selected,high_sensitivity,0.20999999999999996,strict_external_locked,0.9101618249171378,47.22%,52.79%,61.22%,95.74%,9.84%,6,55,2,45,63.90%
min_all6,high_sensitivity,0.075,strict_external_locked,0.8915470852017937,50.00%,52.32%,55.00%,70.21%,34.43%,21,40,14,33,58.95%
prob_mean_core,high_sensitivity,0.24,strict_external_locked,0.9230663872099825,46.30%,52.21%,61.33%,97.87%,6.56%,4,57,1,46,67.32%
selected_unified_prob,high_sensitivity,0.10999999999999999,strict_external_locked,0.8994287385455254,50.00%,51.83%,53.45%,65.96%,37.70%,23,38,16,31,55.74%
selected_dinov3_prob,high_sensitivity,0.075,strict_external_locked,0.8859782608695652,45.37%,51.64%,61.44%,100.00%,3.28%,2,59,0,47,62.89%
median_all6,high_sensitivity,0.245,strict_external_locked,0.928640085786703,45.37%,50.91%,59.86%,93.62%,8.20%,5,56,3,44,64.32%
selected_unified_prob,accuracy,0.715,strict_external_locked,0.6903553299492385,54.63%,50.07%,22.22%,14.89%,85.25%,52,9,40,7,55.74%
wholecrop_prob,high_sensitivity,0.08,strict_external_locked,0.887335737960616,43.52%,49.76%,60.13%,97.87%,1.64%,1,60,1,46,59.26%
stack_logreg_c03_multiview,high_sensitivity,0.105,strict_external_locked,0.9181775199844023,41.67%,47.87%,58.82%,95.74%,0.00%,0,61,2,45,56.68%
