score,recall_target,model,train_scope,pass_n,pass_frac,pass_acc,hardlike_n,hard_recall,hard_precision,base_acc,base_bacc,final_acc,final_bacc,final_auc,final_sens,final_spec,final_tn,final_fp,final_fn,final_tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,feature_set
review_score_learn_hard_core_rf,0.9,extra,flag_train,52,0.1824561403508772,0.8846153846153846,233,0.8923076923076924,0.24892703862660945,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8103329393223011,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.26153846153846155,1,1,0,1,raw_plus_review_gross
review_score_learn_hard_core_rf,0.6,extra,flag_train,154,0.5403508771929825,0.8116883116883117,131,0.6,0.29770992366412213,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8088061465721039,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.26153846153846155,1,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.8,extra,flag_train,111,0.3894736842105263,0.8648648648648649,174,0.8,0.2988505747126437,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8058510638297872,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_learn_hard_core_extra,0.9,extra,flag_train,30,0.10526315789473684,0.8333333333333334,255,0.9230769230769231,0.23529411764705882,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8048167848699763,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.26153846153846155,1,1,0,1,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.9,extra,flag_train,41,0.14385964912280702,0.8536585365853658,244,0.9076923076923077,0.24180327868852458,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7998916469661151,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.26153846153846155,1,1,0,1,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.8,extra,all_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7960992907801419,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.8,extra,all_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7938829787234044,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_hybrid_max_allrange_fn,0.9,extra,flag_train,41,0.14385964912280702,0.8536585365853658,244,0.9076923076923077,0.24180327868852458,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7932427107959024,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_hybrid_max_allrange_fn,0.8,extra,flag_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7866922773837668,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_learn_hard_core_extra,0.7,extra,flag_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.768395390070922,0.8325945626477541,0.7659574468085106,0.7708333333333334,111,33,33,108,0.27692307692307694,0.27692307692307694,2,2,1,1,raw_plus_review_gross
review_score_learn_hard_core_rf,0.7,logreg,flag_train,120,0.42105263157894735,0.8333333333333334,165,0.6923076923076923,0.2727272727272727,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7683215130023641,0.8388494877856579,0.7588652482269503,0.7777777777777778,112,32,34,107,0.27692307692307694,0.35384615384615387,22,22,11,6,raw_plus_review_gross
review_score_upper_low_conf,0.9,gb,flag_train,83,0.2912280701754386,0.9156626506024096,202,0.8769230769230769,0.28217821782178215,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7680998817966903,0.8356235224586288,0.7375886524822695,0.7986111111111112,115,29,37,104,0.27692307692307694,0.38461538461538464,16,16,8,1,raw_plus_review_gross
review_score_learn_hard_core_extra,0.7,gb,flag_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7679521276595744,0.8344168636721827,0.723404255319149,0.8125,117,27,39,102,0.27692307692307694,0.46153846153846156,23,23,14,2,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.6,logreg,all_train,159,0.5578947368421052,0.8616352201257862,126,0.6153846153846154,0.31746031746031744,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7651447990543736,0.8152088258471237,0.7872340425531915,0.7430555555555556,107,37,30,111,0.27692307692307694,0.35384615384615387,15,16,9,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.7,extra,flag_train,129,0.45263157894736844,0.8682170542635659,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7650709219858156,0.8094956658786445,0.7801418439716312,0.75,108,36,31,110,0.27692307692307694,0.27692307692307694,1,2,0,0,raw_plus_review_gross
review_score_upper_low_conf,0.7,extra,flag_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649970449172576,0.8346138691883372,0.7730496453900709,0.7569444444444444,109,35,32,109,0.27692307692307694,0.26153846153846155,2,3,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.6,extra,flag_train,162,0.5684210526315789,0.8271604938271605,123,0.6461538461538462,0.34146341463414637,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649970449172576,0.833628841607565,0.7730496453900709,0.7569444444444444,109,35,32,109,0.27692307692307694,0.24615384615384617,2,3,0,2,raw_plus_review_gross
review_score_learn_hard_core_rf,0.7,logreg,all_train,120,0.42105263157894735,0.8333333333333334,165,0.6923076923076923,0.2727272727272727,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649970449172576,0.8234830575256108,0.7730496453900709,0.7569444444444444,109,35,32,109,0.27692307692307694,0.4153846153846154,18,19,13,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.6,extra,all_train,166,0.5824561403508772,0.8373493975903614,119,0.5846153846153846,0.31932773109243695,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8273246650906225,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_learn_hard_core_extra,0.7,extra,all_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8258471237194642,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.9,extra,all_train,83,0.2912280701754386,0.9156626506024096,202,0.8769230769230769,0.28217821782178215,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8254531126871552,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.7,extra,all_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8252068557919622,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.8,extra,all_train,111,0.3894736842105263,0.8648648648648649,174,0.8,0.2988505747126437,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.821660756501182,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
