model,objective,threshold,split,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
rf_domain_weighted,sensitivity90,0.17499999999999993,development_oof:old,0.9370567375886525,0.8070175438596491,0.8084367612293144,0.9432624113475178,0.6736111111111112,0.7388888888888889,0.8286604361370717,97,47,8,133
rf_domain_weighted,sensitivity90,0.17499999999999993,development_oof:third,0.8199586236933797,0.6470588235294118,0.7048127177700348,0.8292682926829268,0.5803571428571429,0.41975308641975306,0.5573770491803278,130,94,14,68
grad_boost,bacc,0.4999999999999998,development_oof,0.8967574088516279,0.8663282571912013,0.8493736595827647,0.7802690582959642,0.9184782608695652,0.8529411764705882,0.8149882903981265,338,30,49,174
grad_boost,bacc,0.4999999999999998,external_strict_frozen,0.6449250087199162,0.6388888888888888,0.6168468782699685,0.44680851063829785,0.7868852459016393,0.6176470588235294,0.5185185185185186,48,13,26,21
grad_boost,bacc,0.4999999999999998,development_oof:old,0.9318853427895981,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129
grad_boost,bacc,0.4999999999999998,development_oof:third,0.8226807491289199,0.8137254901960784,0.7297473867595818,0.5487804878048781,0.9107142857142857,0.6923076923076923,0.6122448979591837,204,20,37,45
grad_boost,domain_worst_bacc,0.2749999999999999,development_oof,0.8967574088516279,0.8527918781725888,0.8473386625073114,0.8251121076233184,0.8695652173913043,0.7931034482758621,0.8087912087912088,320,48,39,184
grad_boost,domain_worst_bacc,0.2749999999999999,external_strict_frozen,0.6449250087199162,0.6296296296296297,0.6159748866410882,0.5106382978723404,0.7213114754098361,0.5853658536585366,0.5454545454545454,44,17,23,24
grad_boost,domain_worst_bacc,0.2749999999999999,development_oof:old,0.9318853427895981,0.9017543859649123,0.9018912529550827,0.9148936170212766,0.8888888888888888,0.8896551724137931,0.9020979020979021,128,16,12,129
grad_boost,domain_worst_bacc,0.2749999999999999,development_oof:third,0.8226807491289199,0.8071895424836601,0.7639372822299652,0.6707317073170732,0.8571428571428571,0.632183908045977,0.6508875739644969,192,32,27,55
grad_boost,sensitivity90,0.12999999999999995,development_oof,0.8967574088516279,0.727580372250423,0.7618139500877364,0.9013452914798207,0.6222826086956522,0.5911764705882353,0.714031971580817,229,139,22,201
grad_boost,sensitivity90,0.12999999999999995,external_strict_frozen,0.6449250087199162,0.5185185185185185,0.5566794558772236,0.851063829787234,0.26229508196721313,0.47058823529411764,0.6060606060606061,16,45,7,40
grad_boost,sensitivity90,0.12999999999999995,development_oof:old,0.9318853427895981,0.7929824561403509,0.7945478723404256,0.9432624113475178,0.6458333333333334,0.7228260869565217,0.8184615384615385,93,51,8,133
grad_boost,sensitivity90,0.12999999999999995,development_oof:third,0.8226807491289199,0.6666666666666666,0.7182055749128919,0.8292682926829268,0.6071428571428571,0.4358974358974359,0.5714285714285714,136,88,14,68
