ranker,split,budget,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,captured_p2_wrong_n,captured_p2_wrong_rate,missed_p2_wrong_n,review_on_p2_correct_n,review_precision_vs_p2_error,random_accuracy_mean,random_accuracy_sd,random_balanced_accuracy_mean,random_balanced_accuracy_sd,random_captured_p2_wrong_rate_mean,random_captured_p2_wrong_rate_sd,random_review_precision_vs_p2_error_mean,random_review_precision_vs_p2_error_sd,random_fn_mean,random_fn_sd,random_fp_mean,random_fp_sd
learned_hard_gate,development,0.275,0.9289340101522843,0.9164310781828816,0.8654708520179372,0.967391304347826,0.9414634146341463,0.9018691588785046,356.0,12.0,30.0,193.0,163.0,0.27580372250423013,49.0,0.5384615384615384,42.0,114.0,0.3006134969325153,,,,,,,,,,,,
learned_hard_gate,external,0.275,0.8333333333333334,0.8256016742239274,0.7659574468085106,0.8852459016393442,0.8372093023255814,0.8,54.0,7.0,11.0,36.0,30.0,0.2777777777777778,14.0,0.4375,18.0,16.0,0.4666666666666667,,,,,,,,,,,,
learned_hard_gate,development,0.3,0.934010152284264,0.9231575355819848,0.8789237668161435,0.967391304347826,0.9423076923076923,0.9095127610208815,356.0,12.0,27.0,196.0,177.0,0.29949238578680204,52.0,0.5714285714285714,39.0,125.0,0.2937853107344633,,,,,,,,,,,,
learned_hard_gate,external,0.3,0.8333333333333334,0.8256016742239274,0.7659574468085106,0.8852459016393442,0.8372093023255814,0.8,54.0,7.0,11.0,36.0,32.0,0.2962962962962963,14.0,0.4375,18.0,18.0,0.4375,,,,,,,,,,,,
learned_hard_gate,development,0.325,0.937394247038917,0.9267583837005264,0.8834080717488789,0.970108695652174,0.9471153846153846,0.9141531322505799,357.0,11.0,26.0,197.0,192.0,0.3248730964467005,54.0,0.5934065934065934,37.0,138.0,0.28125,,,,,,,,,,,,
learned_hard_gate,external,0.325,0.8425925925925926,0.8337983955354029,0.7659574468085106,0.9016393442622951,0.8571428571428571,0.8089887640449439,55.0,6.0,11.0,36.0,35.0,0.32407407407407407,15.0,0.46875,17.0,20.0,0.42857142857142855,,,,,,,,,,,,
learned_hard_gate,development,0.35,0.9424703891708968,0.9334848410996296,0.8968609865470852,0.970108695652174,0.9478672985781991,0.9216589861751152,357.0,11.0,23.0,200.0,207.0,0.350253807106599,57.0,0.6263736263736264,34.0,150.0,0.2753623188405797,,,,,,,,,,,,
learned_hard_gate,external,0.35,0.8518518518518519,0.8419951168468782,0.7659574468085106,0.9180327868852459,0.8780487804878049,0.8181818181818182,56.0,5.0,11.0,36.0,38.0,0.35185185185185186,16.0,0.5,16.0,22.0,0.42105263157894735,,,,,,,,,,,,
learned_hard_gate,development,0.375,0.9441624365482234,0.9348435367518035,0.8968609865470852,0.9728260869565217,0.9523809523809523,0.9237875288683602,358.0,10.0,23.0,200.0,222.0,0.3756345177664975,58.0,0.6373626373626373,33.0,164.0,0.26126126126126126,,,,,,,,,,,,
learned_hard_gate,external,0.375,0.8703703703703703,0.8632717125915591,0.8085106382978723,0.9180327868852459,0.8837209302325582,0.8444444444444444,56.0,5.0,9.0,38.0,40.0,0.37037037037037035,18.0,0.5625,14.0,22.0,0.45,,,,,,,,,,,,
