accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,pca_components,feature_set
0.8280701754385965,0.8278664302600472,0.8125492513790386,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,gb_d1_lr05,64,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8424694641449961,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,hgb_leaf3,32,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8393912529550827,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,hgb_leaf3,64,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8382584712371945,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,16,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8350571315996848,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,64,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8341706067769898,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,64,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8335795902285263,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,16,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8330870764381403,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,32,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8321020488573679,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,8,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8309200157604413,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,32,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8256993695823485,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,4,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8245665878644602,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,4,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8235323089046493,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,8,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8235323089046493,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,8,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8219562647754137,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,32,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8200847123719465,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,8,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8200354609929078,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,16,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8199862096138693,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,64,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8198877068557919,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,32,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8195921985815603,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,16,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8193459416863673,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,64,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8187549251379039,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,4,rawtop_corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8185579196217494,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,8,corrected_plus_embedding
0.8280701754385965,0.8277925531914894,0.8175728920409772,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,4,corrected_plus_embedding
