safe_rate_target,review_rate_target,clear_auto_n,clear_auto_rate,middle_auto_n,middle_auto_rate,review_n,review_rate,clear_wrong_n,middle_wrong_n,review_captured_wrong_n,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_precision,workflow_f1,workflow_tn,workflow_fp,workflow_fn,workflow_tp,clear_n,clear_accuracy,clear_balanced_accuracy,clear_sensitivity,clear_specificity,clear_fn,clear_fp,middle_n,middle_accuracy,middle_balanced_accuracy,middle_sensitivity,middle_specificity,middle_precision,middle_f1,middle_tn,middle_fp,middle_fn,middle_tp,auto_all_n,auto_all_accuracy,auto_all_balanced_accuracy,auto_all_sensitivity,auto_all_specificity,auto_all_precision,auto_all_f1,auto_all_tn,auto_all_fp,auto_all_fn,auto_all_tp,split,clear_precision,clear_f1,clear_tn,clear_tp
0.0,0.5,0,0.0,295,0.49915397631133673,296,0.5008460236886633,0,24,67,0.9593908629441624,0.9523725385065315,0.9237668161434978,0.9809782608695652,0.9671361502347418,0.944954128440367,361,7,17,206,0,,,,,0,0,295,0.9186440677966101,0.9044016842929887,0.8468468468468469,0.9619565217391305,0.9306930693069307,0.8867924528301886,177.0,7,17,94.0,295,0.9186440677966101,0.9044016842929887,0.8468468468468469,0.9619565217391305,0.9306930693069307,0.8867924528301886,177,7,17,94,development,,,,
0.0,0.525,0,0.0,281,0.4754653130287648,310,0.5245346869712352,0,22,69,0.9627749576988156,0.9559733866250731,0.9282511210762332,0.9836956521739131,0.971830985915493,0.9495412844036697,362,6,16,207,0,,,,,0,0,281,0.9217081850533808,0.9085848854634981,0.8518518518518519,0.9653179190751445,0.9387755102040817,0.8932038834951458,167.0,6,16,92.0,281,0.9217081850533808,0.9085848854634981,0.8518518518518519,0.9653179190751445,0.9387755102040817,0.8932038834951458,167,6,16,92,development,,,,
0.0,0.55,0,0.0,266,0.4500846023688663,325,0.5499153976311336,0,18,73,0.9695431472081218,0.9640585396763501,0.9417040358744395,0.9864130434782609,0.9767441860465116,0.9589041095890412,363,5,13,210,0,,,,,0,0,266,0.9323308270676691,0.9215557805706116,0.8737864077669902,0.9693251533742331,0.9473684210526315,0.909090909090909,158.0,5,13,90.0,266,0.9323308270676691,0.9215557805706116,0.8737864077669902,0.9693251533742331,0.9473684210526315,0.909090909090909,158,5,13,90,development,,,,
0.0,0.575,0,0.0,251,0.42470389170896783,340,0.5752961082910322,0,15,76,0.9746192893401016,0.9699015402612594,0.9506726457399103,0.9891304347826086,0.9814814814814815,0.9658314350797267,364,4,11,212,0,,,,,0,0,251,0.9402390438247012,0.9312865497076024,0.8888888888888888,0.9736842105263158,0.9565217391304348,0.9214659685863874,148.0,4,11,88.0,251,0.9402390438247012,0.9312865497076024,0.8888888888888888,0.9736842105263158,0.9565217391304348,0.9214659685863874,148,4,11,88,development,,,,
0.0,0.6,0,0.0,236,0.3993231810490694,355,0.6006768189509306,0,14,77,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,0,,,,,0,0,236,0.940677966101695,0.9340651190387896,0.8969072164948454,0.9712230215827338,0.9560439560439561,0.9255319148936171,135.0,4,10,87.0,236,0.940677966101695,0.9340651190387896,0.8969072164948454,0.9712230215827338,0.9560439560439561,0.9255319148936171,135,4,10,87,development,,,,
0.0,0.625,0,0.0,222,0.3756345177664975,369,0.6243654822335025,0,14,77,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,0,,,,,0,0,222,0.9369369369369369,0.9316203895565686,0.8947368421052632,0.968503937007874,0.9550561797752809,0.9239130434782609,123.0,4,10,85.0,222,0.9369369369369369,0.9316203895565686,0.8947368421052632,0.968503937007874,0.9550561797752809,0.9239130434782609,123,4,10,85,development,,,,
0.0,0.65,0,0.0,207,0.350253807106599,384,0.649746192893401,0,14,77,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,0,,,,,0,0,207,0.9323671497584541,0.9286926994906621,0.8924731182795699,0.9649122807017544,0.9540229885057471,0.9222222222222222,110.0,4,10,83.0,207,0.9323671497584541,0.9286926994906621,0.8924731182795699,0.9649122807017544,0.9540229885057471,0.9222222222222222,110,4,10,83,development,,,,
0.0,0.675,0,0.0,192,0.3248730964467005,399,0.6751269035532995,0,12,79,0.9796954314720813,0.974861084031975,0.9551569506726457,0.9945652173913043,0.9906976744186047,0.9726027397260273,366,2,10,213,0,,,,,0,0,192,0.9375,0.9335664335664335,0.8863636363636364,0.9807692307692307,0.975,0.9285714285714285,102.0,2,10,78.0,192,0.9375,0.9335664335664335,0.8863636363636364,0.9807692307692307,0.975,0.9285714285714285,102,2,10,78,development,,,,
0.0,0.7,0,0.0,177,0.29949238578680204,414,0.700507614213198,0,11,80,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367,1,10,213,0,,,,,0,0,177,0.9378531073446328,0.9357416879795396,0.8823529411764706,0.9891304347826086,0.9868421052631579,0.9316770186335402,91.0,1,10,75.0,177,0.9378531073446328,0.9357416879795396,0.8823529411764706,0.9891304347826086,0.9868421052631579,0.9316770186335402,91,1,10,75,development,,,,
0.0,0.725,0,0.0,163,0.27580372250423013,428,0.7241962774957699,0,11,80,0.9813874788494078,0.976219779684149,0.9551569506726457,0.9972826086956522,0.9953271028037384,0.9748283752860412,367,1,10,213,0,,,,,0,0,163,0.9325153374233128,0.9335090361445784,0.8795180722891566,0.9875,0.9864864864864865,0.9299363057324841,79.0,1,10,73.0,163,0.9325153374233128,0.9335090361445784,0.8795180722891566,0.9875,0.9864864864864865,0.9299363057324841,79,1,10,73,development,,,,
