score,target,scope,pass_n,pass_frac,hardlike_n,hard_recall,hard_prec,pass_acc,acc,bacc,sens,spec,tn,fp,fn,tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,thresholds
hybrid_max_allrange_fn,0.8,flag_train,74,0.2596491228070175,211,0.7846153846153846,0.24170616113744076,0.8378378378378378,0.7052631578947368,0.7058215130023641,0.7588652482269503,0.6527777777777778,94,50,34,107,0.27692307692307694,0.38461538461538464,17,35,11,4,1:0.582;2:0.460;3:0.474;4:0.474;5:0.509
all_range,0.8,flag_train,69,0.24210526315789474,216,0.8,0.24074074074074073,0.8115942028985508,0.7017543859649122,0.7019799054373523,0.723404255319149,0.6805555555555556,98,46,39,102,0.27692307692307694,0.36923076923076925,14,33,10,4,1:0.472;2:0.449;3:0.486;4:0.496;5:0.486
hybrid_max_allrange_fn,0.9,flag_train,41,0.14385964912280702,244,0.9076923076923077,0.24180327868852458,0.8536585365853658,0.6982456140350877,0.6984338061465721,0.7163120567375887,0.6805555555555556,98,46,40,101,0.27692307692307694,0.38461538461538464,16,36,12,5,1:0.404;2:0.389;3:0.389;4:0.389;5:0.368
upper_low_conf,0.7,true_hardcore_train,142,0.4982456140350877,143,0.7076923076923077,0.32167832167832167,0.852112676056338,0.6421052631578947,0.6416223404255319,0.5957446808510638,0.6875,99,45,57,84,0.27692307692307694,0.7538461538461538,37,73,31,0,1:0.022;2:0.022;3:0.035;4:0.010;5:0.014
learn_hard_core_extra,0.7,true_hardcore_train,135,0.47368421052631576,150,0.6923076923076923,0.3,0.8518518518518519,0.624561403508772,0.6246306146572105,0.6312056737588653,0.6180555555555556,89,55,52,89,0.27692307692307694,0.676923076923077,36,77,27,1,1:0.435;2:0.444;3:0.452;4:0.436;5:0.452
hybrid_max_allrange_fn,0.7,true_hardcore_train,129,0.45263157894736844,156,0.7230769230769231,0.30128205128205127,0.8682170542635659,0.6140350877192983,0.6159131205673759,0.7943262411347518,0.4375,63,81,29,112,0.27692307692307694,0.7538461538461538,41,85,32,1,1:0.702;2:0.611;3:0.663;4:0.611;5:0.663
upper_low_conf,0.8,true_hardcore_train,111,0.3894736842105263,174,0.8,0.2988505747126437,0.8648648648648649,0.5754385964912281,0.5752068557919622,0.5531914893617021,0.5972222222222222,86,58,63,78,0.27692307692307694,0.8,42,97,35,1,1:0.009;2:0.009;3:0.014;4:0.008;5:0.007
learn_hard_core_rf,0.7,true_hardcore_train,120,0.42105263157894735,165,0.6923076923076923,0.2727272727272727,0.8333333333333334,0.5649122807017544,0.5648640661938534,0.5602836879432624,0.5694444444444444,82,62,62,79,0.27692307692307694,0.6923076923076923,36,94,28,1,1:0.407;2:0.407;3:0.415;4:0.408;5:0.408
upper_low_conf,0.9,true_hardcore_train,83,0.2912280701754386,202,0.8769230769230769,0.28217821782178215,0.9156626506024096,0.5298245614035088,0.5295508274231678,0.5035460992907801,0.5555555555555556,80,64,70,71,0.27692307692307694,0.8769230769230769,49,117,40,1,1:0.005;2:0.005;3:0.007;4:0.001;5:0.004
learn_hard_core_logreg,0.7,true_hardcore_train,111,0.3894736842105263,174,0.7076923076923077,0.26436781609195403,0.8198198198198198,0.519298245614035,0.5198729314420805,0.574468085106383,0.4652777777777778,67,77,60,81,0.27692307692307694,0.7692307692307693,37,108,32,0,1:0.227;2:0.256;3:0.227;4:0.192;5:0.510
all_range,0.7,true_hardcore_train,100,0.3508771929824561,185,0.7076923076923077,0.24864864864864866,0.81,0.5087719298245614,0.5086436170212766,0.49645390070921985,0.5208333333333334,75,69,71,70,0.27692307692307694,0.6923076923076923,37,111,28,1,1:0.500;2:0.497;3:0.499;4:0.516;5:0.500
learn_hard_core_extra,0.8,true_hardcore_train,79,0.2771929824561403,206,0.8153846153846154,0.25728155339805825,0.8481012658227848,0.4842105263157895,0.4844858156028369,0.5106382978723404,0.4583333333333333,66,78,69,72,0.27692307692307694,0.8,44,125,35,1,1:0.397;2:0.411;3:0.431;4:0.409;5:0.407
learn_hard_core_rf,0.8,true_hardcore_train,75,0.2631578947368421,210,0.8153846153846154,0.2523809523809524,0.8533333333333334,0.47368421052631576,0.47384751773049644,0.48936170212765956,0.4583333333333333,66,78,72,69,0.27692307692307694,0.8153846153846154,45,129,36,1,1:0.350;2:0.350;3:0.391;4:0.350;5:0.342
hybrid_max_allrange_fn,0.8,true_hardcore_train,74,0.2596491228070175,211,0.7846153846153846,0.24170616113744076,0.8378378378378378,0.45614035087719296,0.45848108747044913,0.6808510638297872,0.2361111111111111,34,110,45,96,0.27692307692307694,0.8,44,133,35,1,1:0.582;2:0.460;3:0.474;4:0.474;5:0.509
learn_hard_core_logreg,0.8,true_hardcore_train,84,0.29473684210526313,201,0.7692307692307693,0.24875621890547264,0.8095238095238095,0.45614035087719296,0.45663416075650115,0.5035460992907801,0.4097222222222222,59,85,70,71,0.27692307692307694,0.8307692307692308,41,130,36,0,1:0.108;2:0.111;3:0.111;4:0.058;5:0.387
all_range,0.8,true_hardcore_train,69,0.24210526315789474,216,0.8,0.24074074074074073,0.8115942028985508,0.4421052631578947,0.4425236406619385,0.48226950354609927,0.4027777777777778,58,86,73,68,0.27692307692307694,0.7846153846153846,43,136,34,1,1:0.472;2:0.449;3:0.486;4:0.496;5:0.486
learn_hard_core_rf,0.9,true_hardcore_train,52,0.1824561403508772,233,0.8923076923076924,0.24892703862660945,0.8846153846153846,0.4280701754385965,0.42826536643026003,0.44680851063829785,0.4097222222222222,59,85,78,63,0.27692307692307694,0.8923076923076924,50,147,41,1,1:0.311;2:0.311;3:0.342;4:0.250;5:0.308
learn_hard_core_logreg,0.9,true_hardcore_train,57,0.2,228,0.8615384615384616,0.24561403508771928,0.8245614035087719,0.4,0.4003398345153665,0.4326241134751773,0.3680555555555556,53,91,80,61,0.27692307692307694,0.8923076923076924,46,151,41,1,1:0.041;2:0.026;3:0.026;4:0.011;5:0.185
hybrid_max_allrange_fn,0.9,true_hardcore_train,41,0.14385964912280702,244,0.9076923076923077,0.24180327868852458,0.8536585365853658,0.3929824561403509,0.3945035460992908,0.5390070921985816,0.25,36,108,65,76,0.27692307692307694,0.8923076923076924,50,157,41,1,1:0.404;2:0.389;3:0.389;4:0.389;5:0.368
all_range,0.9,true_hardcore_train,36,0.12631578947368421,249,0.8769230769230769,0.2289156626506024,0.7777777777777778,0.36140350877192984,0.3615543735224586,0.375886524822695,0.3472222222222222,50,94,88,53,0.27692307692307694,0.8615384615384616,48,164,39,1,1:0.323;2:0.323;3:0.356;4:0.412;5:0.412
learn_hard_core_extra,0.9,true_hardcore_train,30,0.10526315789473684,255,0.9230769230769231,0.23529411764705882,0.8333333333333334,0.36140350877192984,0.3615543735224586,0.375886524822695,0.3472222222222222,50,94,88,53,0.27692307692307694,0.9076923076923077,51,167,42,1,1:0.361;2:0.361;3:0.397;4:0.351;5:0.361
