align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
none,200,0.9999924898147583,rf_d5,maxsim,none,balanced_accuracy,0.5299999999999999,0.519355791962175,0.5228070175438596,0.519355791962175,0.28421052631578947,122,22,114,27,0.473896769109535,0.6018518518518519,0.5596442274154168,0.3384615384615385,54,7,36,11,0.6351587024764562,0.5904761904761905,0.5566764490095377,0.3384615384615385,51,7,36,11,0.628026412325752
none,200,0.9999929070472717,extra_d5,maxsim,none,balanced_accuracy,0.5199999999999999,0.5121897163120567,0.5157894736842106,0.5121897163120567,0.25806451612903225,123,21,117,24,0.4924645390070922,0.5925925925925926,0.5612138123474015,0.40540540540540543,49,12,32,15,0.646668991977677,0.580952380952381,0.5561261922230374,0.40540540540540543,46,12,32,15,0.6393983859134263
none,200,0.9999927282333374,extra_d5,none,none,balanced_accuracy,0.5099999999999999,0.5345744680851063,0.5368421052631579,0.5345744680851063,0.40540540540540543,108,36,96,45,0.5197498029944838,0.5833333333333334,0.5603418207185211,0.4444444444444444,45,16,29,18,0.6365538890826649,0.5714285714285714,0.553558327219369,0.4444444444444444,42,16,29,18,0.6250917094644167
coral,64,0.9599685668945312,logreg_c001,none,p80,balanced_accuracy,0.5399999999999999,0.6338652482269503,0.6350877192982456,0.6338652482269503,0.584,108,36,68,73,0.6494779353821908,0.5740740740740741,0.5619114056505057,0.4888888888888889,40,21,25,22,0.5420299965120334,0.5619047619047619,0.5530080704328687,0.4888888888888889,37,21,25,22,0.5264123257520176
none,200,0.999992847442627,logreg_c001,maxsim,none,balanced_accuracy,0.4799999999999999,0.5374556737588653,0.5368421052631579,0.5374556737588653,0.56,69,75,57,84,0.5277285263987392,0.5648148148148148,0.5537146843390304,0.4835164835164835,39,22,25,22,0.5699337286362052,0.5619047619047619,0.5530080704328687,0.4888888888888889,37,21,25,22,0.562362435803375
coral,200,0.9999927878379822,logreg_c001,none,p90,balanced_accuracy,0.5299999999999999,0.5995862884160756,0.6,0.5995862884160756,0.5808823529411765,92,52,62,79,0.5945133963750985,0.5740740740740741,0.5619114056505057,0.4888888888888889,40,21,25,22,0.5451691663760028,0.5619047619047619,0.5530080704328687,0.4888888888888889,37,21,25,22,0.5300807043286867
coral,200,0.9999929070472717,logreg_c01,top5sim,none,balanced_accuracy,0.5099999999999999,0.5791962174940899,0.5789473684210527,0.5791962174940899,0.5862068965517241,80,64,56,85,0.544424743892829,0.5648148148148148,0.5634809905824905,0.5252525252525253,35,26,21,26,0.5783048482734566,0.5523809523809524,0.5524578136463683,0.5252525252525253,32,26,21,26,0.5612619222303742
none,128,0.9999478459358215,logreg_c001,none,p85,balanced_accuracy,0.4499999999999999,0.5914598108747045,0.5894736842105263,0.5914598108747045,0.6528189910979229,58,86,31,110,0.6040681639085894,0.5740740740740741,0.5497035228461807,0.425,45,16,30,17,0.5099407045692361,0.5714285714285714,0.551540719002201,0.43037974683544306,43,15,30,17,0.5055025678650036
coral,200,0.9999927878379822,rf_d5,maxsim,none,balanced_accuracy,0.49999999999999994,0.5858451536643026,0.5859649122807018,0.5858451536643026,0.5785714285714286,86,58,60,81,0.578408195429472,0.5648148148148148,0.5610394140216254,0.5154639175257731,36,25,22,25,0.5364492500871991,0.5523809523809524,0.5504402054292004,0.5154639175257731,33,25,22,25,0.5231107850330153
diag,200,0.9999927282333374,logreg_c1,none,none,balanced_accuracy,0.9199999999999999,0.5559988179669031,0.5578947368421052,0.5559988179669031,0.45689655172413796,106,38,88,53,0.5473305752561072,0.5833333333333334,0.5554586675967911,0.4155844155844156,47,14,31,16,0.5817928147889782,0.5714285714285714,0.549523110785033,0.4155844155844156,44,14,31,16,0.5649303008070433
