accuracy,balanced_accuracy,f1,tn,fp,fn,tp,route_col,corrector_name,objective,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_all_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_all_gross_text_hand_model,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_all_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand_model,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_gross_model_conflict,corrector_hard_gross_text_hand,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__hard_core__model_visible__extra,corrector_all_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__hard_core__model_visible__extra,corrector_all_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__best41_fn__model_visible__logreg,corrector_all_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__best41_fn__model_visible__logreg,corrector_all_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__best41_fp__model_visible__logreg,corrector_all_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__best41_fp__model_visible__logreg,corrector_all_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8347369976359338,0.8278388278388278,125,19,28,113,route_score__best41_fp__gross_hand_model__extra,corrector_all_gross_text_hand_model,accuracy,9,0.031578947368421054,276,0.8514492753623188,0.3333333333333333,6,0.09230769230769231,1,1,0
0.8350877192982457,0.8347369976359338,0.8278388278388278,125,19,28,113,route_score__best41_fp__gross_hand_model__extra,corrector_all_gross_text_hand_model,pass90_accuracy,9,0.031578947368421054,276,0.8514492753623188,0.3333333333333333,6,0.09230769230769231,1,1,0
0.8350877192982457,0.8347369976359338,0.8278388278388278,125,19,28,113,route_score__best41_fp__gross_hand_model__extra,corrector_all_gross_text_hand_model,balanced_accuracy,9,0.031578947368421054,276,0.8514492753623188,0.3333333333333333,6,0.09230769230769231,1,1,0
0.8315789473684211,0.8314864066193853,0.8285714285714286,121,23,25,116,route_score__hard_core__model_visible__logreg,corrector_hard_gross_text_hand,pass90_accuracy,74,0.2596491228070175,211,0.933649289099526,0.5405405405405406,58,0.8923076923076924,16,17,-1
