workflow,scope,n,auto_release_n,auto_release_rate,additional_image_release_n,final_review_n,final_review_rate,released_error_n,additional_released_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.80,old_data,285,68,0.23859649122807017,9,149,0.5228070175438596,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.80,third_batch,306,107,0.34967320261437906,29,141,0.46078431372549017,1,1,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.80,strict_external,108,24,0.2222222222222222,4,70,0.6481481481481481,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.80,all_domains,699,199,0.28469241773962806,42,360,0.5150214592274678,1,1,0.9971387696709585,0.9962962962962962,0.9962825278810409,0.8353017353017353,2,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.85,old_data,285,64,0.22456140350877193,5,153,0.5368421052631579,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.85,third_batch,306,98,0.3202614379084967,20,150,0.49019607843137253,1,1,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.85,strict_external,108,20,0.18518518518518517,0,74,0.6851851851851852,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.85,all_domains,699,182,0.2603719599427754,25,377,0.5393419170243204,1,1,0.9971387696709585,0.9962962962962962,0.9962825278810409,0.8353017353017353,2,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.90,old_data,285,63,0.22105263157894736,4,154,0.5403508771929825,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.90,third_batch,306,84,0.27450980392156865,6,164,0.5359477124183006,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.90,strict_external,108,20,0.18518518518518517,0,74,0.6851851851851852,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.90,all_domains,699,167,0.23891273247496422,10,392,0.5608011444921316,0,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.95,old_data,285,60,0.21052631578947367,1,157,0.5508771929824562,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.95,third_batch,306,78,0.2549019607843137,0,170,0.5555555555555556,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.95,strict_external,108,20,0.18518518518518517,0,74,0.6851851851851852,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.95,all_domains,699,158,0.22603719599427755,1,401,0.5736766809728183,0,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.50,old_data,285,122,0.4280701754385965,63,95,0.3333333333333333,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.50,third_batch,306,154,0.5032679738562091,76,94,0.30718954248366015,5,5,0.9803921568627451,0.9634146341463414,0.9620253164556962,0.818270905923345,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.50,strict_external,108,61,0.5648148148148148,41,33,0.3055555555555556,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.50,all_domains,699,337,0.4821173104434907,180,222,0.31759656652360513,5,5,0.9914163090128756,0.9888888888888889,0.9887640449438202,0.8353017353017353,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.55,old_data,285,104,0.3649122807017544,45,113,0.39649122807017545,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.55,third_batch,306,140,0.45751633986928103,62,108,0.35294117647058826,5,5,0.9803921568627451,0.9634146341463414,0.9620253164556962,0.818270905923345,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.55,strict_external,108,54,0.5,34,40,0.37037037037037035,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.55,all_domains,699,298,0.4263233190271817,141,261,0.37339055793991416,5,5,0.9914163090128756,0.9888888888888889,0.9887640449438202,0.8353017353017353,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.60,old_data,285,88,0.3087719298245614,29,129,0.45263157894736844,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.60,third_batch,306,128,0.41830065359477125,50,120,0.39215686274509803,5,5,0.9803921568627451,0.9634146341463414,0.9620253164556962,0.818270905923345,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.60,strict_external,108,47,0.4351851851851852,27,47,0.4351851851851852,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.60,all_domains,699,263,0.37625178826895567,106,296,0.4234620886981402,5,5,0.9914163090128756,0.9888888888888889,0.9887640449438202,0.8353017353017353,6,0
v178_union_v161_final_review_or_reject_dino_pca64_logreg_c03_t0.65,old_data,285,82,0.28771929824561404,23,135,0.47368421052631576,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
