align,pca_components,pca_explained,c,gamma,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
diag,16,0.49430108070373535,10.0,0.003,balanced_accuracy,0.09748975753784173,0.645316193853428,0.6456140350877193,0.645316193853428,0.6327272727272727,97,47,54,87,0.6705082742316786,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.5908615277293338,0.5714285714285714,0.5696991929567131,0.5360824742268041,34,24,21,26,0.5858400586940572
diag,16,0.49430108070373535,10.0,0.003,accuracy,0.09748975753784173,0.6456140350877193,0.6456140350877193,0.645316193853428,0.6327272727272727,97,47,54,87,0.6705082742316786,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.5908615277293338,0.5714285714285714,0.5696991929567131,0.5360824742268041,34,24,21,26,0.5858400586940572
diag,32,0.6357396841049194,0.3,scale,accuracy,0.04803918480873115,0.656140350877193,0.656140350877193,0.6545508274231678,0.5916666666666667,116,28,70,71,0.7034574468085106,0.6018518518518519,0.5742936867806069,0.44155844155844154,48,13,30,17,0.6459713986745726,0.5904761904761905,0.5687820983125459,0.44155844155844154,45,13,30,17,0.6397652237710932
diag,48,0.71592116355896,10.0,0.01,balanced_accuracy,0.2970877075195313,0.6513002364066194,0.6526315789473685,0.6513002364066194,0.5991902834008097,112,32,67,74,0.6969070133963751,0.5833333333333334,0.5676665504011161,0.4827586206896552,42,19,26,21,0.5828392047436344,0.580952380952381,0.5682318415260454,0.4883720930232558,40,18,26,21,0.5847395451210564
diag,48,0.71592116355896,10.0,0.01,accuracy,0.2970877075195313,0.6526315789473685,0.6526315789473685,0.6513002364066194,0.5991902834008097,112,32,67,74,0.6969070133963751,0.5833333333333334,0.5676665504011161,0.4827586206896552,42,19,26,21,0.5828392047436344,0.580952380952381,0.5682318415260454,0.4883720930232558,40,18,26,21,0.5847395451210564
diag,40,0.6801644563674927,10.0,0.001,balanced_accuracy,0.021748137474060014,0.6702866430260047,0.6701754385964912,0.6702866430260047,0.6713286713286714,95,49,45,96,0.6970547675334909,0.5833333333333334,0.5774328566445762,0.5263157894736842,38,23,22,25,0.608301360306941,0.5714285714285714,0.5676815847395451,0.5263157894736842,35,23,22,25,0.5983125458547323
diag,40,0.6801644563674927,10.0,0.001,accuracy,0.021748137474060014,0.6701754385964912,0.6701754385964912,0.6702866430260047,0.6713286713286714,95,49,45,96,0.6970547675334909,0.5833333333333334,0.5774328566445762,0.5263157894736842,38,23,22,25,0.608301360306941,0.5714285714285714,0.5676815847395451,0.5263157894736842,35,23,22,25,0.5983125458547323
diag,64,0.7723590731620789,3.0,0.001,balanced_accuracy,-0.0805744314193726,0.6567671394799055,0.656140350877193,0.6567671394799055,0.6733333333333333,86,58,40,101,0.6942474389282899,0.5648148148148148,0.5708057202650855,0.5523809523809524,32,29,18,29,0.5985350540634811,0.5619047619047619,0.5671313279530448,0.5576923076923077,30,28,18,29,0.5939104915627292
diag,64,0.7723590731620789,3.0,0.001,accuracy,-0.0805744314193726,0.656140350877193,0.656140350877193,0.6567671394799055,0.6733333333333333,86,58,40,101,0.6942474389282899,0.5648148148148148,0.5708057202650855,0.5523809523809524,32,29,18,29,0.5985350540634811,0.5619047619047619,0.5671313279530448,0.5576923076923077,30,28,18,29,0.5939104915627292
diag,24,0.5774636268615723,10.0,0.01,balanced_accuracy,0.39066792249679594,0.6651152482269503,0.6666666666666666,0.6651152482269503,0.6058091286307054,117,27,68,73,0.7155240346729708,0.5925925925925926,0.5734216951517266,0.47619047619047616,44,17,27,20,0.6250435995814441,0.580952380952381,0.5662142333088774,0.47619047619047616,41,17,27,20,0.615553925165077
