rule_id,conditions_json,internal_cases,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate,min_balanced_accuracy
rule_0003,"{""base_uncertainty"": 0.2773597104631068, ""model_disagreement_rate"": 0.0}",591,7,1,1,189,2,2,0.3177330581355349,0.9878048780487805
rule_0075,"{""base_entropy"": 0.5904423424307783, ""model_disagreement_rate"": 0.0}",591,7,1,1,189,2,2,0.3177330581355349,0.9878048780487805
rule_0160,"{""model_disagreement_rate"": 0.1666666666666666, ""router_risk_mean"": 0.3583952070302708}",591,7,1,1,189,2,2,0.3177330581355349,0.9878048780487805
rule_0627,"{""router_risk_mean"": 0.4404604666281271, ""safe_distance_case_score"": 0.5384969832645418}",591,7,1,1,189,2,2,0.31737186102511183,0.9878048780487805
rule_0002,"{""base_uncertainty"": 0.2489689902481337, ""model_disagreement_rate"": 0.0}",591,6,1,1,190,2,2,0.31936704506363944,0.9878048780487805
rule_0074,"{""base_entropy"": 0.5611990650948904, ""model_disagreement_rate"": 0.0}",591,6,1,1,190,2,2,0.31936704506363944,0.9878048780487805
rule_0626,"{""router_risk_mean"": 0.4404604666281271, ""safe_distance_case_score"": 0.514713758890918}",591,6,1,1,190,2,2,0.3191262469900241,0.9878048780487805
rule_0001,"{""base_uncertainty"": 0.23155887929829194, ""model_disagreement_rate"": 0.0}",591,5,1,1,191,2,2,0.321001031991744,0.9878048780487805
rule_0073,"{""base_entropy"": 0.5411313747465856, ""model_disagreement_rate"": 0.0}",591,5,1,1,191,2,2,0.321001031991744,0.9878048780487805
rule_0152,"{""model_disagreement_rate"": 0.0833333333333333, ""router_risk_mean"": 0.3583952070302708}",591,5,1,1,191,2,2,0.321001031991744,0.9878048780487805
rule_0614,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.6307140560545222}",591,4,1,1,192,2,2,0.32263501891984864,0.9878048780487805
rule_0615,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.6809192268745825}",591,4,1,1,192,2,2,0.32263501891984864,0.9878048780487805
rule_0619,"{""router_risk_mean"": 0.41635997334022856, ""safe_distance_case_score"": 0.5384969832645418}",591,4,1,1,192,2,2,0.322514619883041,0.9878048780487805
rule_0000,"{""base_uncertainty"": 0.17960506961375067, ""model_disagreement_rate"": 0.0}",591,3,1,1,193,2,2,0.3242690058479532,0.9878048780487805
rule_0072,"{""base_entropy"": 0.47078384864362843, ""model_disagreement_rate"": 0.0}",591,3,1,1,193,2,2,0.3242690058479532,0.9878048780487805
rule_0423,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.6809192268745825}",591,3,1,1,193,2,2,0.3243894048847609,0.9878048780487805
rule_0551,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.6809192268745825}",591,3,1,1,193,2,2,0.3243894048847609,0.9878048780487805
rule_0618,"{""router_risk_mean"": 0.41635997334022856, ""safe_distance_case_score"": 0.514713758890918}",591,3,1,1,193,2,2,0.3242690058479532,0.9878048780487805
rule_0418,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.514713758890918}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0419,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.5384969832645418}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0420,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.5740271177553192}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0421,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.5964855305337708}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0422,"{""base_uncertainty"": 0.17960506961375067, ""safe_distance_case_score"": 0.6307140560545222}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0546,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.514713758890918}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0547,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.5384969832645418}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0548,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.5740271177553192}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0549,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.5964855305337708}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0550,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.6307140560545222}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0613,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.5964855305337708}",591,2,1,1,194,2,2,0.3260233918128655,0.9878048780487805
rule_0610,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.514713758890918}",591,1,1,1,195,2,2,0.32765737874097006,0.9878048780487805
rule_0611,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.5384969832645418}",591,1,1,1,195,2,2,0.32765737874097006,0.9878048780487805
rule_0612,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.5740271177553192}",591,1,1,1,195,2,2,0.32765737874097006,0.9878048780487805
rule_0455,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.6809192268745825}",591,37,2,2,159,3,3,0.2672686618507052,0.9817073170731707
rule_0583,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.6809192268745825}",591,37,2,2,159,3,3,0.2672686618507052,0.9817073170731707
rule_0647,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.6809192268745825}",591,37,2,2,159,3,3,0.2672686618507052,0.9817073170731707
rule_0151,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.575419661991361}",591,32,2,2,164,3,3,0.27567939456484347,0.9817073170731707
rule_0454,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.6307140560545222}",591,32,2,2,164,3,3,0.27555899552803576,0.9817073170731707
rule_0582,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.6307140560545222}",591,32,2,2,164,3,3,0.27555899552803576,0.9817073170731707
rule_0274,"{""model_disagreement_rate"": 0.5833333333333334, ""safe_distance_case_score"": 0.514713758890918}",591,30,2,2,166,3,3,0.27870657034743723,0.9817073170731707
rule_0282,"{""model_disagreement_rate"": 0.6666666666666666, ""safe_distance_case_score"": 0.514713758890918}",591,30,2,2,166,3,3,0.27870657034743723,0.9817073170731707
rule_0266,"{""model_disagreement_rate"": 0.5, ""safe_distance_case_score"": 0.514713758890918}",591,29,2,2,167,3,3,0.2804609563123495,0.9817073170731707
rule_0639,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.6809192268745825}",591,29,2,2,167,3,3,0.28094255245958033,0.9817073170731707
rule_0646,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.6307140560545222}",591,29,2,2,167,3,3,0.28058135534915724,0.9817073170731707
rule_0447,"{""base_uncertainty"": 0.2773597104631068, ""safe_distance_case_score"": 0.6809192268745825}",591,28,2,2,168,3,3,0.28233574131406947,0.9817073170731707
rule_0474,"{""base_uncertainty"": 0.3626409721985777, ""safe_distance_case_score"": 0.514713758890918}",591,28,2,2,168,3,3,0.28197454420364637,0.9817073170731707
rule_0575,"{""base_entropy"": 0.5904423424307783, ""safe_distance_case_score"": 0.6809192268745825}",591,28,2,2,168,3,3,0.28233574131406947,0.9817073170731707
rule_0602,"{""base_entropy"": 0.6549198040994479, ""safe_distance_case_score"": 0.514713758890918}",591,28,2,2,168,3,3,0.28197454420364637,0.9817073170731707
rule_0666,"{""router_risk_mean"": 0.575419661991361, ""safe_distance_case_score"": 0.514713758890918}",591,27,2,2,169,3,3,0.2838493292053664,0.9817073170731707
