policy,scope,n,accuracy,balanced_accuracy,f1,auc,fn,fp,auto_decision_n,auto_decision_rate,review_or_reject_n,review_or_reject_rate,auto_error_n,auto_error_rate,auto_error_wilson95_high,auto_high_risk_fn_n,auto_low_risk_fp_n,granularity,release_fraction,released_n,released_error_n,released_high_risk_fn_n
fraction_granularity_domain,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,434,0.7343485617597293,157,0.2656514382402707,1,0.002304147465437788,0.01293463867788233,1,0,domain,0.2,39,0,0
fraction_granularity_domain,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,497,0.7110157367668097,202,0.28898426323319026,1,0.002012072434607646,0.01130802075319972,1,0,domain,0.2,50,0,0
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,210,0.7368421052631579,75,0.2631578947368421,0,0.0,0.017964050759283236,0,0,domain_label,0.05,0,0,0
fraction_granularity_domain_label,third_batch,306,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0,189,0.6176470588235294,117,0.38235294117647056,1,0.005291005291005291,0.029356905444997014,1,0,domain_label,0.05,4,0,0
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,53,0.49074074074074076,55,0.5092592592592593,0,0.0,0.06758198857654187,0,0,domain_label,0.05,1,0,0
fraction_granularity_domain_label,internal_known,591,0.9983079526226735,0.9977578475336323,0.9977528089887641,0.860011698186781,1,0,399,0.6751269035532995,192,0.3248730964467005,1,0.002506265664160401,0.01405808511065101,1,0,domain_label,0.05,4,0,0
fraction_granularity_domain_label,all_domains,699,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0,452,0.6466380543633763,247,0.35336194563662376,1,0.0022123893805309734,0.012424024228121224,1,0,domain_label,0.05,5,0,0
fraction_granularity_domain_label,old_data,285,1.0,1.0,1.0,0.8737687155240348,0,0,215,0.7543859649122807,70,0.24561403508771928,0,0.0,0.017553615486732756,0,0,domain_label,0.1,5,0,0
fraction_granularity_domain_label,third_batch,306,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.818270905923345,2,0,196,0.6405228758169934,110,0.35947712418300654,2,0.01020408163265306,0.03643559644110273,2,0,domain_label,0.1,11,1,1
fraction_granularity_domain_label,strict_external,108,1.0,1.0,1.0,0.67317753749564,0,0,55,0.5092592592592593,53,0.49074074074074076,0,0.0,0.06528490111708637,0,0,domain_label,0.1,3,0,0
